,play_level,match_result,text_relay,player_name_A,player_name_B,team_name_A,team_name_B,birth_date_A,birth_date_B,weight_A,height_A,weight_B,height_B,specialized_technique_A,specialized_technique_B,first_learning_year_A,first_learning_year_B,pro_debut_year_A,pro_debut_year_B
0,1조 32강,승리자 청 정재욱,"경기종료 
청 승
",정재욱,황성희,구미시청씨름단,울주군청해뜨미씨름단,1987 년 06 월 18 일,1994 년 02 월 21 일,82kg,175cm,95kg,176cm,안다리,들배지기,1997년,2004년,2010년,2017년
1,1조 32강,승리자 홍 김기선,"경기종료 
홍 승",홍성용,김기선,양평군청씨름단,연수구청씨름단,1992 년 04 월 29 일,1992 년 01 월 12 일,90kg,178cm,92kg,172cm,오금당기기,오금당기기,2004년,2002년,2015년,2015년
2,1조 32강,승리자 홍 김민정,"1라운드 경기시작
58초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
58초
청 이설빈
청 이설빈 기술방어
57초
홍 김민정
홍 김민정 다리기술(호미걸이) 공격시도
57초
청 이설빈
청 이설빈 기술방어
55초
청 이설빈
청 이설빈 다리기술(안다리걸기) 승리기술
55초
청 이설빈
비디오판독(감독) 판정유지
1라운드 경기종료
청 승
2라운드 경기시작
59초
홍 김민정
홍 김민정 허리기술(잡채기) 승리기술
2라운드 경기종료
홍 승
3라운드 경기시작
59초
홍 김민정
홍 김민정 허리기술(들배지기) 공격시도
59초
청 이설빈
청 이설빈 기술방어
59초
홍 김민정
홍 김민정 다리기술(호미걸이) 공격시도
59초
청 이설빈
청 이설빈 기술방어
57초
홍 김민정
홍 김민정 혼합기술(밀어치기) 승리기술
3라운드 경기종료
홍 승
경기종료 
홍 승",이설빈,김민정,창원특례시청씨름단,영월군청씨름단,1996 년 03 월 29 일,1988 년 04 월 09 일,85kg,178cm,93kg,187cm,왼배지기,들배지기,2007년,2000년,2020년,2011년
3,1조 32강,승리자 승 자 없음,"경기종료  동시 기권
승자 없음",윤대호,정석진,동작구청씨름단,정읍시청단풍미인씨름단,1985 년 10 월 02 일,1996 년 09 월 24 일,90kg,185cm,95kg,186cm,들배지기,밭다리,2000년,2008년,2005년,2019년
4,1조 32강,승리자 홍 이민호,"경기종료 
홍 승",황정훈,이민호,용인특례시청씨름단,증평군청인삼씨름단,1997 년 06 월 18 일,1994 년 09 월 22 일,90kg,183cm,93kg,180cm,안다리,들배지기,2008년,2003년,2021년,2017년
5,1조 32강,승리자 청 김동휘,"1라운드 경기시작
59초
홍 김건형
홍 김건형 혼합기술(뿌려치기) 공격시도
59초
청 김동휘
청 김동휘 기술방어
57초
청 김동휘
청 김동휘 다리기술(발목걸이) 공격시도
57초
홍 김건형
홍 김건형 기술방어
57초
홍 김건형
홍 김건형 혼합기술(밀어치기) 승리기술
1라운드 경기종료
홍 승
2라운드 경기시작
60초
홍 김건형
홍 김건형 허리기술(들배지기) 공격시도
60초
청 김동휘
청 김동휘 기술방어
57초
홍 김건형
홍 김건형 혼합기술(들어뒤집기) 공격시도
57초
청 김동휘
청 김동휘 혼합기술(들어뒤집기) 되치기
2라운드 경기종료
청 승
3라운드 경기시작
59초
홍 김건형
홍 김건형 허리기술(들배지기) 공격시도
59초
청 김동휘
청 김동휘 기술방어
58초
청 김동휘
청 김동휘 다리기술(안다리걸기) 공격시도
58초
홍 김건형
홍 김건형 기술방어
56초
청 김동휘
청 김동휘 다리기술(안다리걸기) 승리기술
3라운드 경기종료
청 승
경기종료 
청 승",김동휘,김건형,문경시청씨름단,울주군청해뜨미씨름단,1980 년 04 월 22 일,2000 년 04 월 12 일,90kg,182cm,95kg,178cm,들배지기,들배지기,1992년,2023년,2003년,2023년
6,1조 32강,승리자 청 오성민,"1라운드 경기시작
60초
홍 문윤식
홍 문윤식 허리기술(들배지기) 공격시도
60초
청 오성민
청 오성민 기술방어
59초
청 오성민
청 오성민 손기술(오금당기기) 공격시도
59초
홍 문윤식
홍 문윤식 기술방어
58초
홍 문윤식
홍 문윤식 다리기술(안다리걸기) 승리기술
1라운드 경기종료
홍 승
2라운드 경기시작
60초
청 오성민
청 오성민 경고 (지시불응)
59초
홍 문윤식
홍 문윤식 허리기술(들배지기) 공격시도
59초
청 오성민
청 오성민 기술방어
47초
홍 문윤식
홍 문윤식 허리기술(들배지기) 공격시도
47초
청 오성민
청 오성민 기술방어
44초
홍 문윤식
홍 문윤식 혼합기술(등채기) 공격시도
44초
청 오성민
청 오성민 기술방어
43초
청 오성민
청 오성민 허리기술(잡채기) 승리기술
2라운드 경기종료
청 승
3라운드 경기시작
60초
홍 문윤식
홍 문윤식 허리기술(들배지기) 공격시도
60초
청 오성민
청 오성민 기술방어
50초
청 오성민
청 오성민 손기술(오금당기기) 공격시도
50초
홍 문윤식
홍 문윤식 기술방어
45초
청 오성민
청 오성민 손기술(앞무릎치기) 공격시도
45초
홍 문윤식
홍 문윤식 기술방어
43초
청 오성민
청 오성민 손기술(오금당기기) 공격시도
43초
홍 문윤식
홍 문윤식 기술방어
42초
홍 문윤식
홍 문윤식 혼합기술(등채기) 공격시도
42초
청 오성민
청 오성민 기술방어
39초
청 오성민
청 오성민 혼합기술(측면(자반)뒤집기) 합의판정
39초
비디오판독(심판) 청팀승리 - 상대 선수 승리판정
3라운드 경기종료
청 승
경기종료 
청 승",오성민,문윤식,MG새마을금고씨름단,경기광주시청씨름단,2000 년 02 월 26 일,1992 년 06 월 17 일,95kg,183cm,95kg,182cm,오금당기기,들배지기,2013년,2015년,2023년,2015년
7,1조 32강,승리자 홍 김철겸,"경기종료 
홍 승",신희호,김철겸,증평군청인삼씨름단,울주군청해뜨미씨름단,1999 년 03 월 15 일,1997 년 07 월 06 일,92kg,176cm,93kg,178cm,들배지기,장기전,2011년,2008년,2022년,2020년
8,1조 32강,승리자 청 임경택,"1라운드 경기시작
60초
홍 이정훈
홍 이정훈 경고 (지시불응)
60초
청 임경택
청 임경택 허리기술(들배지기) 공격시도
60초
홍 이정훈
홍 이정훈 기술방어
29초
홍 이정훈
홍 이정훈 혼합기술(뿌려치기) 공격시도
29초
청 임경택
청 임경택 기술방어
29초
타임 아웃 -장외
22초
홍 이정훈
홍 이정훈 혼합기술(밀어치기) 공격시도
22초
청 임경택
청 임경택 기술방어
17초
타임 아웃 -기타(타임)
8초
홍 이정훈
홍 이정훈 혼합기술(밀어치기) 공격시도
8초
청 임경택
청 임경택 기술방어
3초
홍 이정훈
홍 이정훈 혼합기술(뿌려치기) 공격시도
3초
청 임경택
청 임경택 기술방어
0초
홍 이정훈
홍 이정훈 경고 (장기전)
1라운드 경기종료
청 승
2라운드 경기시작
60초
청 임경택
청 임경택 허리기술(들배지기) 공격시도
60초
홍 이정훈
홍 이정훈 기술방어
52초
타임 아웃 -그대로
34초
타임 아웃 -그대로
24초
홍 이정훈
홍 이정훈 혼합기술(뿌려치기) 공격시도
24초
청 임경택
청 임경택 기술방어
2라운드 연장 경기시작
30초
홍 이정훈
홍 이정훈 경고 (장기전)
17초
청 임경택
청 임경택 기타기술(기술방어중무릎닿임) 합의판정
17초
비디오판독(심판) 청팀승리 - 상대 선수 승리판정
2라운드 경기종료
청 승
경기종료 
청 승",임경택,이정훈,태안군청씨름단,영월군청씨름단,1996 년 08 월 31 일,1995 년 01 월 11 일,90kg,182cm,95kg,177cm,들배지기,잡채기,2000년,2005년,2019년,2018년
9,1조 32강,승리자 청 왕덕현,"1라운드 경기시작
60초
청 왕덕현
청 왕덕현 허리기술(들배지기) 공격시도
60초
홍 이상엽
홍 이상엽 기술방어
59초
홍 이상엽
홍 이상엽 다리기술(빗장걸이) 공격시도
59초
청 왕덕현
청 왕덕현 기술방어
58초
청 왕덕현
청 왕덕현 허리기술(들배지기) 공격시도
58초
홍 이상엽
홍 이상엽 기술방어
57초
홍 이상엽
홍 이상엽 다리기술(빗장걸이) 공격시도
57초
청 왕덕현
청 왕덕현 기술방어
54초
홍 이상엽
홍 이상엽 다리기술(호미걸이) 공격시도
54초
청 왕덕현
청 왕덕현 기술방어
51초
청 왕덕현
청 왕덕현 다리기술(안다리걸기) 승리기술
1라운드 경기종료
청 승
2라운드 경기시작
60초
청 왕덕현
청 왕덕현 허리기술(들배지기) 공격시도
60초
홍 이상엽
홍 이상엽 기술방어
58초
청 왕덕현
청 왕덕현 다리기술(안다리걸기) 승리기술
2라운드 경기종료
청 승
경기종료 
청 승",왕덕현,이상엽,창원특례시청씨름단,용인특례시청씨름단,1999 년 09 월 25 일,1993 년 05 월 30 일,97kg,175cm,95kg,175cm,대구광역시,들배지기,2010년,2004년,2022년,2016년
